Components Table:
1668,	OpenMapRealVector.mapAddToSelf
2651,	SynchronizedMultivariateSummaryStatistics.setSumImpl
1417,	MathIllegalArgumentException.getContext
1804,	EventFilter.eventOccurred
2032,	SimpleBounds.unbounded
75,	DerivativeStructure.cos
2618,	SynchronizedDescriptiveStatistics.copy
228,	FunctionUtils.toDifferentiableUnivariateFunction
23,	DerivativeStructure.getFreeParameters
2219,	RandomAdaptor.nextDouble
597,	Dfp.atan
1361,	BlockFieldMatrix.copyBlockPart
254,	BaseAbstractUnivariateIntegrator.getMax
1513,	AbstractFieldMatrix.setRowMatrix
510,	MullerSolver2.doSolve
721,	AbstractRealMatrix.multiply
1602,	SparseFieldVector.toArray
492,	BrentSolver.doSolve
11,	DerivativeStructure.getReal
197,	Dfp.equals
496,	BaseAbstractUnivariateSolver.verifyBracketing
754,	NormalDistribution.density
1888,	AdamsNordsieckTransformer.buildP
1257,	ArrayFieldVector.mapAdd
69,	PolynomialFunction.evaluate
2185,	VectorialCovariance.increment
1436,	IterationManager.addIterationListener
810,	AbstractLeastSquaresOptimizer.getWeightSquareRoot
153,	Logistic.value
2799,	StatUtils.sumSq
1607,	SparseFieldVector.setEntry
2123,	BaseAbstractUnivariateOptimizer.getGoalType
7,	DSCompiler.acos
226,	Divide.value
1725,	ExpandableStatefulODE.getPrimaryState
1625,	OpenIntToDoubleHashMap.shouldGrowTable
863,	FractionFormat.format
1415,	CholeskyDecomposition.getL
970,	Interval.getInf
1043,	VectorFormat.format
564,	RootsOfUnity.computeRoots
613,	Dfp.pow
899,	ChromosomePair.getSecond
1641,	AbstractRealMatrix.walkInRowOrder
776,	ExceptionContext.getKeys
364,	DiagonalMatrix.copy
1173,	Vector3D.getNormInf
30,	DerivativeStructure.atan
111,	DerivativeStructure.log
1933,	SimplexTableau.getNumObjectiveFunctions
167,	Dfp.divide
771,	MathIllegalStateException.getLocalizedMessage
1496,	AbstractFieldMatrix.getColumnMatrix
465,	PolynomialsUtils.createLegendrePolynomial
511,	MullerSolver.solve
2069,	AbstractSimplex.createHypercubeSteps
1336,	BlockFieldMatrix.getColumnDimension
1994,	NonLinearConjugateGradientOptimizer.optimize
2298,	HypergeometricDistribution.getSupportLowerBound
790,	KalmanFilter.predict
2035,	BOBYQAOptimizer.bobyqb
1916,	NordsieckStepInterpolator.doCopy
1557,	RealVector.getDistance
2037,	BOBYQAOptimizer.bobyqa
298,	FieldHermiteInterpolator.addSamplePoint
2828,	BigReal.negate
